﻿일,유종,Dubai,Brent,WTI
12월 16일,,59.94,58.92,55.27
12월 17일,,59.71,59.68,55.94
12월 18일,,60.31,59.82,56.15
12월 19일,,60.03,60.47,56.66
12월 22일,,61.22,62.07,58.01
12월 23일,,62.14,62.38,58.38
12월 24일,,62.36,62.24,58.35
12월 26일,,62.20,60.64,56.74
12월 29일,,61.26,61.94,58.08
12월 30일,,61.74,61.92,57.95
12월 31일,,61.59,60.85,57.42
01월 02일,,60.32,60.75,57.32
01월 05일,,58.26,61.76,58.32
01월 06일,,59.41,60.70,57.13
01월 07일,,58.29,59.96,55.99
01월 08일,,58.33,61.99,57.76
01월 09일,,60.82,63.34,59.12
01월 12일,,61.40,63.87,59.50
01월 13일,,61.75,65.47,61.15
01월 14일,,62.42,66.52,62.02
01월 15일,,62.54,63.76,59.19
01월 16일,,62.31,64.13,59.44
01월 19일,,61.96,63.94,-
01월 20일,,61.82,64.92,60.34
01월 21일,,62.33,65.24,60.62
01월 22일,,63.22,64.06,59.36
01월 23일,,62.29,65.88,61.07
01월 26일,,63.54,65.59,60.63
01월 27일,,62.89,67.57,62.39
01월 28일,,64.65,68.40,63.21
01월 29일,,66.34,70.71,65.42
01월 30일,,66.57,70.69,65.21
02월 02일,,64.98,66.30,62.14
02월 03일,,65.10,67.33,63.21
02월 04일,,66.80,69.46,65.14
02월 05일,,67.42,67.55,63.29
02월 06일,,67.73,68.05,63.55
02월 09일,,66.81,69.04,64.36
02월 10일,,67.99,68.80,63.96
02월 11일,,68.59,69.40,64.63
02월 12일,,68.68,67.52,62.84
02월 13일,,66.88,67.75,62.89
02월 16일,,67.06,68.65,-
02월 17일,,-,67.42,62.33
02월 18일,,-,70.35,65.19
02월 19일,,70.14,71.66,66.43
02월 20일,,70.71,71.76,66.39
02월 23일,,70.04,71.49,66.31
02월 24일,,70.47,70.77,65.63
02월 25일,,70.09,70.85,65.42
02월 26일,,70.53,70.75,65.21
02월 27일,,71.24,72.48,67.02
03월 02일,,80.79,77.74,71.23
03월 03일,,82.34,81.40,74.56
03월 04일,,86.34,81.40,74.66
03월 05일,,94.93,85.41,81.01
03월 06일,,100.42,92.69,90.90
03월 09일,,125.00,98.96,94.77
03월 10일,,115.20,87.80,83.45
03월 11일,,119.55,91.98,87.25
03월 12일,,134.40,100.46,95.73
03월 13일,,145.51,103.14,98.71
03월 16일,,153.24,100.21,93.50
03월 17일,,157.66,103.42,96.21
03월 18일,,155.55,107.38,96.32
03월 19일,,166.80,108.65,96.14
03월 20일,,158.85,112.19,98.32
03월 23일,,169.75,99.94,88.13
03월 24일,,157.03,104.49,92.35
전일비,,-12.72,4.55,4.22
전주비,,-0.63,1.07,-3.86
전월동일비,,86.56,33.72,26.72
전년동일비,,83.60,31.48,23.24
평균,,68.81,68.05,64.43
